issue_id,repo,title,body,text
6835,requests/requests,why requests.session doesn't send stored cookie?,"here is a reproducible example: - server.py - client.py and logs: - server - client why doesn't send stored cookies at second request? more over, why domain looks like inside session cookies. i set it as without leading dot . requests version - 2.31.0","why requests.session doesn't send stored cookie? here is a reproducible example: - server.py - client.py and logs: - server - client why doesn't send stored cookies at second request? more over, why domain looks like inside session cookies. i set it as without leading dot . requests version - 2.31.0"
6833,requests/requests,lack of respect for questions and support requests,"sincerely, i don't know what is the objective of those responsible for if they don't know how to kill this project, if they are bored or if they are simply busier with other things. i have been observing your behavior for some time now, and it worries me: .- don't you have time to develop this library?: perfect . .- don't you want to continue to be responsible for it?: perfect . .- don't you know how to respond to support requests?: perfect . but don't automatically refer support requests or problems to one of the most aggressive and rude sites when faced with support questions, especially from those who are just starting to program. you should rethink, seriously, what to do with it is far behind other libraries that provide current functionalities, it is far behind for commits that really provide usefulness you have been months without contributing anything useful to this library . if you are tired, perfect : say it widely. and allow others to continue the work: people with enthusiasm and time to maintain and improve this library as it deserves. because our time is also important : don't give an image of an updated, friendly and supported library; because that's not the reality i see. and this is said by someone who has recognized all your work: but sometimes it is wise to know when to give way to other people. and i maintain, on github, a project infinitely smaller than yours, but the moment i lose the illusion, the desire, the smile, to respond to every pr, every issue, every suggestion, at that moment i will hang up the gloves , allowing wiser people to continue the path. regards,","lack of respect for questions and support requests sincerely, i don't know what is the objective of those responsible for if they don't know how to kill this project, if they are bored or if they are simply busier with other things. i have been observing your behavior for some time now, and it worries me: .- don't you have time to develop this library?: perfect . .- don't you want to continue to be responsible for it?: perfect . .- don't you know how to respond to support requests?: perfect . but don't automatically refer support requests or problems to one of the most aggressive and rude sites when faced with support questions, especially from those who are just starting to program. you should rethink, seriously, what to do with it is far behind other libraries that provide current functionalities, it is far behind for commits that really provide usefulness you have been months without contributing anything useful to this library . if you are tired, perfect : say it widely. and allow others to continue the work: people with enthusiasm and time to maintain and improve this library as it deserves. because our time is also important : don't give an image of an updated, friendly and supported library; because that's not the reality i see. and this is said by someone who has recognized all your work: but sometimes it is wise to know when to give way to other people. and i maintain, on github, a project infinitely smaller than yours, but the moment i lose the illusion, the desire, the smile, to respond to every pr, every issue, every suggestion, at that moment i will hang up the gloves , allowing wiser people to continue the path. regards,"
6823,requests/requests,chunked put using a generator function...,"!-- summary. -- i made a generator function that returns str chunks; i passed it to data ...data=my func ... , and it eventually comes back with the error ""memoryview: a bytes-like object is required, not 'str'"" debug statements indicate this is happening on the first yield... documentation indicates this is the way to do it: expected result !-- what you expected. -- no error! actual result !-- what happened instead. -- the error ""memoryview: a bytes-like object is required, not 'str'"". reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","chunked put using a generator function... !-- summary. -- i made a generator function that returns str chunks; i passed it to data ...data=my func ... , and it eventually comes back with the error ""memoryview: a bytes-like object is required, not 'str'"" debug statements indicate this is happening on the first yield... documentation indicates this is the way to do it: expected result !-- what you expected. -- no error! actual result !-- what happened instead. -- the error ""memoryview: a bytes-like object is required, not 'str'"". reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
2766,requests/requests,document threading contract for session class,"right now, it's quite difficult to figure out if the session class is threadsafe or not. the docs don't say, apart from a ""thread-safe"" bullet on the home page. google led me to whose first answer boils down to ""be very careful"". inspired by that so author, i've been auditing the code myself, and have come to the conclusion that session is probably not threadsafe. the use of set off red flags for me. reading through other requests bug reports, i see maintainers recommending one session per thread, which implies that it's not threadsafe. the documentation should clarify this and recommend how to use session in multithreaded programs. possible text: if that's accurate, let me know and i'll submit a pr. also, i think the ""thread-safe"" bullet should be removed from the home page, or maybe replaced by ""thread-safe in certain circumstances"".","document threading contract for session class right now, it's quite difficult to figure out if the session class is threadsafe or not. the docs don't say, apart from a ""thread-safe"" bullet on the home page. google led me to whose first answer boils down to ""be very careful"". inspired by that so author, i've been auditing the code myself, and have come to the conclusion that session is probably not threadsafe. the use of set off red flags for me. reading through other requests bug reports, i see maintainers recommending one session per thread, which implies that it's not threadsafe. the documentation should clarify this and recommend how to use session in multithreaded programs. possible text: if that's accurate, let me know and i'll submit a pr. also, i think the ""thread-safe"" bullet should be removed from the home page, or maybe replaced by ""thread-safe in certain circumstances""."
7033,requests/requests,requests with self signed certs broken,"specifying a cert bundle in 2.28.1 works fine, but in 2.32.5 fails with requests.exceptions.sslerror expected result response 200 actual result traceback most recent call last : file "" stdin "", line 1, in module file ""/usr/local/lib/python3.11/site-packages/requests/api.py"", line 73, in get return request ""get"", url, params=params, kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/api.py"", line 59, in request return session.request method=method, url=url, kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/sessions.py"", line 589, in request resp = self.send prep, send kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/sessions.py"", line 703, in send r = adapter.send request, kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/adapters.py"", line 675, in send raise sslerror e, request=request requests.exceptions.sslerror: httpsconnectionpool host='lal-apps', port=443 : max retries exceeded with url: / caused by sslerror sslerror 1, ' ssl: sslv3 alert handshake failure sslv3 alert handshake failure ssl.c:1016 ' reproduction steps system information requests ca bundle set to valid cert bundle, works with 2.28.1","requests with self signed certs broken specifying a cert bundle in 2.28.1 works fine, but in 2.32.5 fails with requests.exceptions.sslerror expected result response 200 actual result traceback most recent call last : file "" stdin "", line 1, in module file ""/usr/local/lib/python3.11/site-packages/requests/api.py"", line 73, in get return request ""get"", url, params=params, kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/api.py"", line 59, in request return session.request method=method, url=url, kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/sessions.py"", line 589, in request resp = self.send prep, send kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/sessions.py"", line 703, in send r = adapter.send request, kwargs ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ file ""/usr/local/lib/python3.11/site-packages/requests/adapters.py"", line 675, in send raise sslerror e, request=request requests.exceptions.sslerror: httpsconnectionpool host='lal-apps', port=443 : max retries exceeded with url: / caused by sslerror sslerror 1, ' ssl: sslv3 alert handshake failure sslv3 alert handshake failure ssl.c:1016 ' reproduction steps system information requests ca bundle set to valid cert bundle, works with 2.28.1"
7079,requests/requests,feature request: add built-in logger hooks for all http requests and responses,"it would be helpful if the requests library provided an easy and consistent way to log every outgoing request and incoming response without manually wrapping or subclassing session objects. motivation many developers especially in production systems, microservices, and debugging tools need to: trace outgoing requests urls, methods, headers, payloads log response details status code, latency, headers, etc. integrate logs with frameworks like logging, structlog, or jsonlogger","feature request: add built-in logger hooks for all http requests and responses it would be helpful if the requests library provided an easy and consistent way to log every outgoing request and incoming response without manually wrapping or subclassing session objects. motivation many developers especially in production systems, microservices, and debugging tools need to: trace outgoing requests urls, methods, headers, payloads log response details status code, latency, headers, etc. integrate logs with frameworks like logging, structlog, or jsonlogger"
6804,requests/requests,xml gets shortened when submitting a post request,"i am trying to send an xml in a post request to a soap endpoint of a tms server. the code is the following: the server returns a response saying that it got an unexpected end of input in lixe x, char y. the error is dependent on the size of the xml, but is reproducible. i am attaching 2 xmls as examples: ex 1: the error here is unexpected end of input block at row 161, col 15 ex 2: here the row is the same but the column is different","xml gets shortened when submitting a post request i am trying to send an xml in a post request to a soap endpoint of a tms server. the code is the following: the server returns a response saying that it got an unexpected end of input in lixe x, char y. the error is dependent on the size of the xml, but is reproducible. i am attaching 2 xmls as examples: ex 1: the error here is unexpected end of input block at row 161, col 15 ex 2: here the row is the same but the column is different"
6815,requests/requests,handle permissionerror when importing adapter.py,"in windows, if the running process has restricted permissions the process may not have permission to read the file ""c:\\users\\user\\documents\\syskeylog.txt"". sounds silly, but this error can propagate through dependencies and prevent them from complete importing, even if the functionality you expect from them do not depend on this project. expected result can import adapter.py actual result reproduction steps run the following code in windows. you gotta remove a line and un-indent a block. see comment within the code. system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","handle permissionerror when importing adapter.py in windows, if the running process has restricted permissions the process may not have permission to read the file ""c:\\users\\user\\documents\\syskeylog.txt"". sounds silly, but this error can propagate through dependencies and prevent them from complete importing, even if the functionality you expect from them do not depend on this project. expected result can import adapter.py actual result reproduction steps run the following code in windows. you gotta remove a line and un-indent a block. see comment within the code. system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
7055,requests/requests,"could not find a suitable tls ca certificate bundle, invalid path: /agents/python/common/certifi/cacert.pem","system information this is a python azure webapp, running python 3.11 let me know if you need any more information i will provide it","could not find a suitable tls ca certificate bundle, invalid path: /agents/python/common/certifi/cacert.pem system information this is a python azure webapp, running python 3.11 let me know if you need any more information i will provide it"
7048,requests/requests,"cloudflare blocks my api bot, but not when i use","i apologize for the long title, i was sending api requests to thingiverse.com but my bot wasn't responding back and found out cloudflare is blocking my bot, i did a quick test using library and was getting return code 200. i dug a little deeper and found requests adds user-agent, and tried this work around here but still had no luck. is there anyway i can check what gets sent either from requests or urllib3 since something clearly does if i don't get blocked when i use i would like to resolve this with requests library so i am not essentially relying on only one method.","cloudflare blocks my api bot, but not when i use i apologize for the long title, i was sending api requests to thingiverse.com but my bot wasn't responding back and found out cloudflare is blocking my bot, i did a quick test using library and was getting return code 200. i dug a little deeper and found requests adds user-agent, and tried this work around here but still had no luck. is there anyway i can check what gets sent either from requests or urllib3 since something clearly does if i don't get blocked when i use i would like to resolve this with requests library so i am not essentially relying on only one method."
7047,requests/requests,add response status code to httperror exception,"currently, when response.raise for status raises an httperror , the exception message includes the status code, reason, and url as a string, but the exception object itself doesn't expose the status code or response object as easily accessible attributes for programmatic error handling. current behavior from models.py lines 999-1026 : def raise for status self : """"""raises :class: httperror cci:2://file:///e:/ideas/new%20solid/requests/src/requests/exceptions.py:54:0-55:33 , if one occurred."""""" = """" if isinstance self.reason, bytes : decode reason... if 400 = self.status code 500: = f"" self.status code client error: reason for url: self.url "" elif 500 = self.status code 600: = f"" self.status code server error: reason for url: self.url "" if raise httperror response=self while the response is passed to the exception, users need to parse the error message string or access exception.response.status code to get the status code programmatically. what this feature will solve better error handling: developers can catch httperror and easily branch logic based on specific status codes e.g., retry on 429, different handling for 401 vs 403 without string parsing cleaner code: direct attribute access e.status code is more pythonic than e.response.status code or parsing strings consistency: other exception types in requests already expose relevant attributes directly e.g., jsondecodeerror has msg, doc, pos backward compatible: adding attributes doesn't break existing code","add response status code to httperror exception currently, when response.raise for status raises an httperror , the exception message includes the status code, reason, and url as a string, but the exception object itself doesn't expose the status code or response object as easily accessible attributes for programmatic error handling. current behavior from models.py lines 999-1026 : def raise for status self : """"""raises :class: httperror cci:2://file:///e:/ideas/new%20solid/requests/src/requests/exceptions.py:54:0-55:33 , if one occurred."""""" = """" if isinstance self.reason, bytes : decode reason... if 400 = self.status code 500: = f"" self.status code client error: reason for url: self.url "" elif 500 = self.status code 600: = f"" self.status code server error: reason for url: self.url "" if raise httperror response=self while the response is passed to the exception, users need to parse the error message string or access exception.response.status code to get the status code programmatically. what this feature will solve better error handling: developers can catch httperror and easily branch logic based on specific status codes e.g., retry on 429, different handling for 401 vs 403 without string parsing cleaner code: direct attribute access e.status code is more pythonic than e.response.status code or parsing strings consistency: other exception types in requests already expose relevant attributes directly e.g., jsondecodeerror has msg, doc, pos backward compatible: adding attributes doesn't break existing code"
6809,requests/requests,retry hangs indefinitely for 503 status code,"when making a get request to a url that returns a 503 status code, the retry strategy causes the code to loop indefinitely, regardless of whether the 503 status code is included in the status forcelist parameter. expected result the retry mechanism should follow the configured retry policy e.g., retry a specified number of times and eventually raise an error after the maximum retries. actual result the code retries indefinitely without raising an exception or stopping. reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","retry hangs indefinitely for 503 status code when making a get request to a url that returns a 503 status code, the retry strategy causes the code to loop indefinitely, regardless of whether the 503 status code is included in the status forcelist parameter. expected result the retry mechanism should follow the configured retry policy e.g., retry a specified number of times and eventually raise an error after the maximum retries. actual result the code retries indefinitely without raising an exception or stopping. reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
7045,requests/requests,about connection release when maintaining sessions,"while using the requests library for http requests, i noticed that there were many tcp connections in the fin wait2 state on the server. through code analysis, i found that these connections originated from the connection pool created by the underlying urllib3 library used by the requests library. the application needs to provide services at any time, so it created a session object that is reused throughout the entire process lifecycle, and it does not actively call the method before the process ends. after reading the source code, i discovered that the requests library only retrieves a connection from the connection pool when making a new http request. it checks whether the connection is available, and if not, it immediately closes the connection and creates a new one. after receiving an http response, the connection is returned to the connection pool. these connections remain idle until the next request arrives. is this the actual situation? if so, then when the server actively closes the connection by sending a fin packet at the tcp protocol layer , the requests library does not detect this state change it does not have a daemon thread continuously checking the connection status . as a result, the server sees many connections in the fin wait2 state that have been open for a long time. what is the rationale behind this design? thank you very much!","about connection release when maintaining sessions while using the requests library for http requests, i noticed that there were many tcp connections in the fin wait2 state on the server. through code analysis, i found that these connections originated from the connection pool created by the underlying urllib3 library used by the requests library. the application needs to provide services at any time, so it created a session object that is reused throughout the entire process lifecycle, and it does not actively call the method before the process ends. after reading the source code, i discovered that the requests library only retrieves a connection from the connection pool when making a new http request. it checks whether the connection is available, and if not, it immediately closes the connection and creates a new one. after receiving an http response, the connection is returned to the connection pool. these connections remain idle until the next request arrives. is this the actual situation? if so, then when the server actively closes the connection by sending a fin packet at the tcp protocol layer , the requests library does not detect this state change it does not have a daemon thread continuously checking the connection status . as a result, the server sees many connections in the fin wait2 state that have been open for a long time. what is the rationale behind this design? thank you very much!"
6807,requests/requests,what is the point of this line?,,what is the point of this line?
7039,requests/requests,type hint needed,"type hint helps to write better code, but in requests there's basically none","type hint needed type hint helps to write better code, but in requests there's basically none"
6647,requests/requests,wrong ca certificates used in requests.session.send,"bug in requests.sessions.py: session.merge environment settings is called in session.request and not in session.send which means if users want to build their own prepared requests see example below , the correct certificates file will not be used unless explicitly passed to send. i believe these environment settings should be updated in session.send instead. reproduction steps expected result no output actual result system information $ python -m requests.help","wrong ca certificates used in requests.session.send bug in requests.sessions.py: session.merge environment settings is called in session.request and not in session.send which means if users want to build their own prepared requests see example below , the correct certificates file will not be used unless explicitly passed to send. i believe these environment settings should be updated in session.send instead. reproduction steps expected result no output actual result system information $ python -m requests.help"
